full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aimar Sher,20,1040371200,2002/12/20,Serie A,2022/2023,Midfielder,Spezia,0,0,0,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ajdin Hrustic,26,836550000,1996/07/05,Serie A,2022/2023,Midfielder,Hellas Verona,226,71,155,Australia,6,2,4,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1.19,75,38,0,0,0,-1,-1,-1,16
Alberto Grassi,27,794563200,1995/03/07,Serie A,2022/2023,Midfielder,Empoli,469,187,282,Italy,11,5,6,0,0,0,0,0,0,0,0,3,2,1,6,0,6,1,0,0,0,0,0,0,0,1.15,78,43,469,0,0.19,268,233,-1,15
Albin Ekdal,33,617612400,1989/07/28,Serie A,2022/2023,Midfielder,Spezia,551,272,279,Sweden,14,8,6,0,0,0,1,1,0,0,0,3,2,1,7,2,5,3,1,0.16,0.16,0,0,0,0,1.14,79,39,184,551,0.49,367,81,-1,26
Aleksa Terzić,23,934873200,1999/08/17,Serie A,2022/2023,Defender,Fiorentina,322,95,227,Serbia,11,6,5,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0.28,322,29,0,0,0,336,369,1,14
Aleksandar Stanković,17,1123052400,2005/08/03,Serie A,2022/2023,Forward,Inter Milan,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aleksey Miranchuk,27,813913200,1995/10/17,Serie A,2022/2023,Midfielder,Torino,1080,582,498,Russia,15,7,8,4,2,2,2,0,2,0,0,3,2,1,12,5,7,0,0,0.5,0.17,0.33,0.31,0.36,270,1,90,72,0,540,0,41,70,-1,2
Alessandro Bastoni,23,923986800,1999/04/13,Serie A,2022/2023,Defender,Inter Milan,1272,712,560,Italy,17,9,8,0,0,0,2,1,1,0,0,6,6,0,15,4,11,2,0,0.14,0.14,0,0,0,0,1.06,85,75,636,636,0.14,282,92,66,21
Alessandro Berardi,32,664012800,1991/01/16,Serie A,2022/2023,Goalkeeper,Hellas Verona,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Bianco,20,1033455600,2002/10/01,Serie A,2022/2023,Midfielder,Fiorentina,110,110,0,Italy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.82,110,55,0,0,0,-1,-1,-1,20
Alessandro Buongiorno,23,928652400,1999/06/06,Serie A,2022/2023,Defender,Torino,1358,525,833,Italy,17,7,10,0,0,0,0,0,0,0,0,5,4,1,15,2,13,5,0,0,0,0,0,0,0,0.99,91,80,272,0,0.33,247,225,54,18
Alessandro Cortinovis,21,980409600,2001/01/25,Serie A,2022/2023,Midfielder,Hellas Verona,6,6,0,Italy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,19
Alessandro Florenzi,31,668678400,1991/03/11,Serie A,2022/2023,Midfielder,AC Milan,96,0,96,Italy,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,-1,-1,-1,19
Alessandro Fontanarosa,19,1044604800,2003/02/07,Serie A,2022/2023,Defender,Inter Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Micai,29,743497200,1993/07/24,Serie A,2022/2023,Goalkeeper,Salernitana,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Pio Riccio,20,1012982400,2002/02/06,Serie A,2022/2023,Defender,Juventus,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Russo,21,986025600,2001/03/31,Serie A,2022/2023,Goalkeeper,Sassuolo,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Sorrentino,20,1017820800,2002/04/03,Serie A,2022/2023,Goalkeeper,Monza,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessandro Tuia,32,644828400,1990/06/08,Serie A,2022/2023,Defender,Lecce,198,0,198,Italy,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.91,99,66,0,0,0,-1,-1,-1,14
Alessandro Zanoli,22,970556400,2000/10/03,Serie A,2022/2023,Defender,Sampdoria,128,65,63,Italy,6,3,3,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1.41,64,21,0,0,0,-1,-1,-1,14
Alessio Cragno,28,772786800,1994/06/28,Serie A,2022/2023,Goalkeeper,Monza,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessio Romagnoli,28,789897600,1995/01/12,Serie A,2022/2023,Defender,Lazio,1735,900,835,Italy,20,10,10,1,1,0,0,0,0,0,0,10,4,6,15,9,6,1,0,0.05,0,0.05,0.1,0,1735,0.78,116,87,1735,0,0.05,208,368,21,10
Alessio Zerbin,23,920448000,1999/03/03,Serie A,2022/2023,Forward,Napoli,51,12,39,Italy,4,1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1.76,51,13,51,0,1.76,-1,-1,-1,21
Alex Cordaz,40,410256000,1983/01/01,Serie A,2022/2023,Goalkeeper,Inter Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Ferrari,28,773046000,1994/07/01,Serie A,2022/2023,Defender,Cremonese,1244,728,516,Italy,17,10,7,0,0,0,0,0,0,0,0,1,1,0,25,12,13,4,0,0,0,0,0,0,0,1.81,50,73,311,0,0.29,308,303,156,11
Alex Meret,25,859017600,1997/03/22,Serie A,2022/2023,Goalkeeper,Napoli,1890,900,990,Italy,21,10,11,0,0,0,0,0,0,0,0,9,4,5,15,8,7,0,0,0,0,0,0,0,0,0.71,126,90,0,0,0,273,209,12,24
Alex Sandro,31,664876800,1991/01/26,Serie A,2022/2023,Defender,Juventus,1140,555,585,Brazil,17,9,8,0,0,0,1,1,0,0,0,11,6,5,12,4,8,4,1,0.08,0.08,0,0,0,0,0.95,95,67,228,1140,0.39,215,159,45,24
Alexis Blin,26,842857200,1996/09/16,Serie A,2022/2023,Midfielder,Lecce,1162,579,583,France,19,9,10,0,0,0,0,0,0,0,0,3,0,3,12,7,5,2,0,0,0,0,0,0,0,0.93,97,61,581,0,0.15,279,271,-1,20
Alexis Saelemaekers,23,930466800,1999/06/27,Serie A,2022/2023,Midfielder,AC Milan,598,286,312,Belgium,13,6,7,0,0,0,1,0,1,0,0,2,1,1,10,5,5,1,0,0.15,0.15,0,0,0,0,1.51,60,46,598,598,0.15,325,87,-1,25
Alfred Duncan,29,731750400,1993/03/10,Serie A,2022/2023,Midfielder,Fiorentina,539,296,243,Ghana,13,6,7,0,0,0,0,0,0,0,0,3,1,2,5,5,0,1,0,0,0,0,0,0,0,0.83,108,41,539,0,0.17,301,333,-1,18
Ali Dembélé,19,1073289600,2004/01/05,Serie A,2022/2023,Defender,Torino,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Amir Rrahmani,28,762076800,1994/02/24,Serie A,2022/2023,Defender,Napoli,1206,450,756,Kosovo,14,5,9,1,1,0,0,0,0,0,0,6,2,4,9,3,6,1,0,0.07,0,0.07,0.2,0,1206,0.67,134,86,1206,0,0.07,184,213,8,12
André Onana Onana,26,828432000,1996/04/02,Serie A,2022/2023,Goalkeeper,Inter Milan,1170,630,540,Cameroon,13,7,6,0,0,0,0,0,0,0,0,5,5,0,11,2,9,1,0,0,0,0,0,0,0,0.85,106,90,1170,0,0.08,284,278,29,14
André-Frank Zambo Anguissa,27,816508800,1995/11/16,Serie A,2022/2023,Midfielder,Napoli,1600,738,862,Cameroon,19,9,10,2,2,0,4,2,2,0,0,8,4,4,13,6,7,2,0,0.34,0.23,0.11,0.24,0,800,0.73,123,84,800,400,0.11,148,47,-1,8
Andrea Barberis,29,755596800,1993/12/11,Serie A,2022/2023,Midfielder,Monza,312,160,152,Italy,7,3,4,0,0,0,1,1,0,0,0,3,2,1,7,2,5,0,0,0.29,0.29,0,0,0,0,2.02,45,45,0,312,0,289,29,-1,24
Andrea Belotti,29,756374400,1993/12/20,Serie A,2022/2023,Forward,Roma,382,174,208,Italy,15,7,8,0,0,0,0,0,0,0,1,4,2,2,7,2,5,0,0,0,0,0,0,0,0,1.65,55,25,0,0,0,224,252,-1,15
Andrea Bozzolan,18,1077523200,2004/02/23,Serie A,2022/2023,Defender,AC Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andrea Cambiaso,22,951033600,2000/02/20,Serie A,2022/2023,Defender,Bologna,1151,622,529,Italy,19,10,9,0,0,0,2,0,2,0,0,2,2,0,15,5,10,2,0,0.16,0.16,0,0,0,0,1.17,77,61,576,576,0.16,389,84,82,22
Andrea Carboni,21,981273600,2001/02/04,Serie A,2022/2023,Defender,Monza,164,27,137,Italy,4,1,3,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,3.29,27,41,0,0,0,-1,-1,-1,23
Andrea Colpani,23,926406000,1999/05/11,Serie A,2022/2023,Midfielder,Monza,475,238,237,Italy,15,8,7,2,2,0,0,0,0,0,0,3,3,0,4,1,3,1,0,0.38,0,0.38,0.76,0,238,0.76,119,32,475,0,0.19,33,288,-1,7
Andrea Consigli,35,538732800,1987/01/27,Serie A,2022/2023,Goalkeeper,Sassuolo,1710,810,900,Italy,19,9,10,0,0,0,0,0,0,0,0,6,4,2,25,7,18,0,0,0,0,0,0,0,0,1.32,68,90,0,0,0,250,253,100,15
Andrea Conti,28,762595200,1994/03/02,Serie A,2022/2023,Defender,Sampdoria,22,22,0,Italy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,-1,-1,-1,12
Andrea Petagna,27,804495600,1995/06/30,Serie A,2022/2023,Forward,Monza,866,482,384,Italy,16,9,7,2,2,0,3,1,2,1,0,3,2,1,19,10,9,1,0,0.52,0.31,0.21,0.37,0,433,1.97,46,54,866,289,0.1,80,21,-1,6
Andrea Pinamonti,23,927097200,1999/05/19,Serie A,2022/2023,Forward,Sassuolo,1312,625,687,Italy,17,8,9,3,2,1,0,0,0,1,0,5,3,2,19,7,12,2,0,0.21,0,0.21,0.29,0.13,437,1.3,69,77,656,0,0.14,81,230,-1,4
Andrea Ranocchia,34,571996800,1988/02/16,Serie A,2022/2023,Defender,Monza,48,0,48,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3.75,24,48,0,0,0,-1,-1,-1,13
Andrea Sorrentino,18,1098342000,2004/10/21,Serie A,2022/2023,Goalkeeper,Salernitana,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andreas Kristoffer Jungdal,20,1014364800,2002/02/22,Serie A,2022/2023,Goalkeeper,AC Milan,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andreaw Gravillon,24,886924800,1998/02/08,Serie A,2022/2023,Defender,Torino,0,0,0,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ángel Di María,34,571824000,1988/02/14,Serie A,2022/2023,Midfielder,Juventus,611,369,242,Argentina,12,7,5,3,2,1,2,2,0,1,0,7,5,2,11,5,6,1,1,0.74,0.29,0.44,0.49,0.37,204,1.62,56,51,306,306,0.29,24,25,-1,4
Ante Rebić,29,748594800,1993/09/21,Serie A,2022/2023,Forward,AC Milan,513,252,261,Croatia,13,6,7,3,2,1,2,0,2,0,0,2,1,1,7,6,1,4,0,0.88,0.35,0.53,0.71,0.34,171,1.23,73,39,128,257,0.7,14,15,-1,4
Antonín Barák,28,786441600,1994/12/03,Serie A,2022/2023,Midfielder,Fiorentina,1023,483,540,Czech Republic,18,10,8,1,0,1,0,0,0,0,0,3,2,1,14,6,8,2,0,0.09,0,0.09,0,0.17,1023,1.23,73,57,512,0,0.18,165,199,-1,10
Antonino Gallo,23,947059200,2000/01/05,Serie A,2022/2023,Defender,Lecce,1258,656,602,Italy,17,9,8,0,0,0,1,0,1,0,0,3,0,3,12,8,4,3,1,0.07,0.07,0,0,0,0,0.86,105,74,419,1258,0.21,304,164,30,23
Antonio Candreva,35,541497600,1987/02/28,Serie A,2022/2023,Midfielder,Salernitana,1636,851,785,Italy,20,10,10,2,0,2,1,1,0,0,0,3,2,1,32,12,20,3,1,0.17,0.06,0.11,0,0.23,818,1.76,51,82,545,1636,0.17,149,187,-1,6
Antonio Mirante,39,426495600,1983/07/08,Serie A,2022/2023,Goalkeeper,AC Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Antonio Pio Iervolino,19,1053673200,2003/05/23,Serie A,2022/2023,Midfielder,Salernitana,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Antonio Raimondo,18,1079596800,2004/03/18,Serie A,2022/2023,Forward,Bologna,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Antonio Sanabria,26,825926400,1996/03/04,Serie A,2022/2023,Forward,Torino,1005,360,645,Paraguay,16,7,9,4,0,4,1,0,1,0,0,4,3,1,11,2,9,3,0,0.45,0.09,0.36,0,0.56,251,0.99,91,63,335,1005,0.27,36,147,-1,3
Ardian Ismajli,26,844066800,1996/09/30,Serie A,2022/2023,Defender,Empoli,1205,575,630,Albania,14,7,7,0,0,0,0,0,0,0,0,5,4,1,13,4,9,2,0,0,0,0,0,0,0,0.97,93,86,603,0,0.15,343,341,48,23
Arkadiusz Milik,28,762422400,1994/02/28,Serie A,2022/2023,Forward,Juventus,984,461,523,Poland,17,10,7,6,4,2,1,0,1,0,0,10,6,4,9,3,6,3,1,0.64,0.09,0.55,0.78,0.34,164,0.82,109,58,328,984,0.27,12,149,-1,2
Arkadiusz Reca,27,803372400,1995/06/17,Serie A,2022/2023,Midfielder,Spezia,1254,787,467,Poland,17,10,7,1,1,0,1,0,1,0,0,3,2,1,19,12,7,3,0,0.14,0.07,0.07,0.11,0,1254,1.36,66,74,418,1254,0.22,182,177,-1,3
Armand Lauriente,24,912758400,1998/12/04,Serie A,2022/2023,Forward,Sassuolo,1234,653,581,France,15,8,7,4,3,1,3,3,0,1,0,4,2,2,17,7,10,5,1,0.51,0.22,0.29,0.41,0.15,309,1.24,73,82,247,411,0.36,51,49,-1,2
Armando Izzo,30,699523200,1992/03/02,Serie A,2022/2023,Defender,Monza,1109,599,510,Italy,14,8,6,0,0,0,0,0,0,0,0,6,4,2,9,4,5,3,0,0,0,0,0,0,0,0.73,123,79,370,0,0.24,234,193,16,17
Arthur Mendonça Cabral,24,893487600,1998/04/25,Serie A,2022/2023,Forward,Fiorentina,661,351,310,Brazil,16,7,9,3,2,1,1,0,1,1,0,3,1,2,8,5,3,1,0,0.54,0.14,0.41,0.51,0.29,220,1.09,83,41,661,661,0.14,29,93,-1,1
Assan Ceesay,28,763891200,1994/03/17,Serie A,2022/2023,Forward,Lecce,930,465,465,Gambia,18,9,9,3,2,1,0,0,0,0,0,2,0,2,12,5,7,1,0,0.29,0,0.29,0.39,0.19,310,1.16,78,52,930,0,0.1,49,269,-1,3
Aster Vranckx,20,1033714800,2002/10/04,Serie A,2022/2023,Midfielder,AC Milan,70,49,21,Belgium,7,4,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1.29,70,10,0,0,0,-1,-1,-1,15
Aurélien Nguiamba,24,916646400,1999/01/18,Serie A,2022/2023,Midfielder,Spezia,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Axel Thurel Sahuye Guessand,18,1099728000,2004/11/06,Serie A,2022/2023,Defender,Udinese,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bakary Adama Soumaoro,30,708850800,1992/06/18,Serie A,2022/2023,Defender,Bologna,1233,648,585,France,15,8,7,0,0,0,0,0,0,0,0,3,3,0,19,6,13,5,1,0,0,0,0,0,0,1.39,65,82,247,0,0.36,388,391,109,23
Bartosz Bereszyński,30,710924400,1992/07/12,Serie A,2022/2023,Defender,Napoli,1203,591,612,Poland,15,8,7,0,0,0,0,0,0,0,0,2,1,1,20,9,11,1,0,0,0,0,0,0,0,1.5,60,80,1203,0,0.07,395,397,129,19
Bartłomiej Drągowski,25,871974000,1997/08/19,Serie A,2022/2023,Goalkeeper,Spezia,1663,810,853,Poland,19,9,10,0,0,0,0,0,0,0,0,3,2,1,29,13,16,1,0,0,0,0,0,0,0,1.57,57,88,1663,0,0.05,274,266,135,23
Benjamin Tahirovic,19,1046678400,2003/03/03,Serie A,2022/2023,Forward,Roma,132,101,31,Sweden,5,3,2,0,0,0,0,0,0,0,0,2,2,0,2,0,2,1,0,0,0,0,0,0,0,1.36,66,26,132,0,0.68,-1,-1,-1,13
Berat Djimsiti,29,730108800,1993/02/19,Serie A,2022/2023,Defender,Atalanta,528,216,312,Albania,8,3,5,0,0,0,0,0,0,0,0,3,1,2,5,2,3,1,0,0,0,0,0,0,0,0.85,106,66,528,0,0.17,318,313,27,21
Boulaye Dia,26,848131200,1996/11/16,Serie A,2022/2023,Midfielder,Salernitana,1481,774,707,France,20,10,10,8,3,5,4,2,2,0,0,3,2,1,32,12,20,1,0,0.73,0.24,0.49,0.35,0.64,185,1.94,46,74,1481,370,0.06,19,46,-1,1
Brahim Abdelkader Diaz,23,933663600,1999/08/03,Serie A,2022/2023,Midfielder,AC Milan,969,436,533,Spain,18,8,10,4,4,0,3,1,2,0,0,3,1,2,14,6,8,2,0,0.65,0.28,0.37,0.83,0,242,1.3,69,54,485,323,0.19,35,37,-1,3
Bram Nuytinck,32,641804400,1990/05/04,Serie A,2022/2023,Defender,Sampdoria,869,303,566,Netherlands,12,5,7,0,0,0,0,0,0,0,0,2,2,0,14,3,11,2,0,0,0,0,0,0,0,1.45,62,72,435,0,0.21,331,326,121,17
Brandon Soppy,20,1014278400,2002/02/21,Serie A,2022/2023,Defender,Atalanta,619,382,237,France,11,6,5,0,0,0,3,3,0,0,0,3,1,2,11,5,6,3,0,0.44,0.44,0,0,0,0,1.6,56,56,206,206,0.44,332,7,141,19
Brian Bayeye,22,962348400,2000/06/30,Serie A,2022/2023,Midfielder,Torino,55,0,55,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.64,55,55,0,0,0,-1,-1,-1,17
Bruno Amione,21,1010044800,2002/01/03,Serie A,2022/2023,Defender,Sampdoria,852,275,577,Argentina,11,4,7,0,0,0,1,0,1,0,0,1,0,1,17,7,10,6,0,0.11,0.11,0,0,0,0,1.8,50,77,142,852,0.63,362,120,155,15
Bryan Cristante,27,794217600,1995/03/03,Serie A,2022/2023,Midfielder,Roma,1756,879,877,Italy,21,10,11,1,0,1,0,0,0,0,0,8,5,3,14,5,9,4,0,0.05,0,0.05,0,0.1,1756,0.72,125,84,439,0,0.21,209,358,-1,8
Carlo Pinsoglio,32,637574400,1990/03/16,Serie A,2022/2023,Goalkeeper,Juventus,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Carlos Augusto Zopalato Neves,24,915696000,1999/01/07,Serie A,2022/2023,Defender,Monza,1762,952,810,Brazil,20,11,9,4,3,1,3,2,1,0,0,6,4,2,25,12,13,2,0,0.36,0.15,0.2,0.28,0.11,441,1.28,70,88,881,587,0.1,91,89,92,2
Caumenan Ange Emmanu N'Guessan,19,1062399600,2003/09/01,Serie A,2022/2023,Defender,Torino,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Charalampos Lykogiannis,29,751273200,1993/10/22,Serie A,2022/2023,Defender,Bologna,892,419,473,Greece,16,8,8,1,0,1,0,0,0,0,0,1,1,0,17,4,13,3,0,0.1,0,0.1,0,0.19,892,1.72,52,56,297,0,0.3,153,392,151,7
Charles De Ketelaere,21,984211200,2001/03/10,Serie A,2022/2023,Midfielder,AC Milan,684,357,327,Belgium,17,9,8,0,0,0,1,1,0,0,0,4,2,2,12,8,4,2,0,0.13,0.13,0,0,0,0,1.58,57,40,342,684,0.26,326,107,-1,24
Charles Pickel,25,863679600,1997/05/15,Serie A,2022/2023,Midfielder,Cremonese,1400,579,821,Switzerland,19,9,10,1,0,1,0,0,0,0,0,3,3,0,23,7,16,6,0,0.06,0,0.06,0,0.11,1400,1.48,61,74,233,0,0.39,204,374,-1,7
Chris Smalling,33,627724800,1989/11/22,Serie A,2022/2023,Defender,Roma,1862,872,990,England,21,10,11,3,2,1,0,0,0,0,0,8,5,3,18,5,13,4,0,0.15,0,0.15,0.21,0.09,621,0.87,103,89,466,0,0.19,118,355,34,4
Christian Acella,20,1026025200,2002/07/07,Serie A,2022/2023,Midfielder,Cremonese,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christian Gytkjær,32,641977200,1990/05/06,Serie A,2022/2023,Forward,Monza,398,207,191,Denmark,14,8,6,1,1,0,0,0,0,0,0,3,2,1,5,1,4,0,0,0.23,0,0.23,0.43,0,398,1.13,80,28,0,0,0,73,287,-1,12
Christian Kouamé,25,881395200,1997/12/06,Serie A,2022/2023,Forward,Fiorentina,1353,681,672,Ivory Coast,19,10,9,2,1,1,2,2,0,0,0,3,2,1,20,11,9,3,0,0.27,0.13,0.13,0.13,0.13,677,1.33,68,71,451,677,0.2,129,99,-1,6
